Column 3	Column 4
DEBUG 	Groups:139 -  Creating new Groups object
DEBUG 	Groups:59 - Group mapping impl=org.apache.hadoop.security.ShellBasedUnixGroupsMapping; cacheTimeout=300000
DEBUG 	UserGroupInformation:147 - hadoop login
DEBUG 	UserGroupInformation:96 - hadoop login commit
DEBUG 	UserGroupInformation:126 - using local user:UnixPrincipal: faisal
DEBUG 	UserGroupInformation:558 - UGI loginUser:faisal
DEBUG 	FileSystem:1441 - Creating filesystem for file:///
DEBUG 	SortedRanges:347 - currentIndex 0   0:0
INFO  	GraphTaskManager:623 - setup: Set log level to info
INFO  	GraphTaskManager:596 - setup: Starting up BspServiceMaster (master thread)...
INFO  	BspService:342 - BspService: Path to create to halt is /_hadoopBsp/job-1453140158931-0001/_haltComputation
INFO  	BspService:342 - BspService: Path to create to halt is /_hadoopBsp/job-1453140203447-0001/_haltComputation
INFO  	BspService:342 - BspService: Path to create to halt is /_hadoopBsp/job-1453140203447-0001/_haltComputation
INFO  	BspService:345 - BspService: Connecting to ZooKeeper with job job-1453140158931-0001, 1 on localhost:2181
INFO  	BspService:345 - BspService: Connecting to ZooKeeper with job job-1453140203447-0001, 2 on localhost:2181
INFO  	BspService:345 - BspService: Connecting to ZooKeeper with job job-1453140203447-0001, 1 on localhost:2181
INFO  	BspService:345 - BspService: Connecting to ZooKeeper with job job-1453140203447-0001, 0 on localhost:2181
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	GraphTaskManager:605 - setup: Starting up BspServiceWorker...
INFO  	GraphTaskManager:605 - setup: Starting up BspServiceWorker...
INFO  	GraphTaskManager:605 - setup: Starting up BspServiceWorker...
INFO  	BspService:342 - BspService: Path to create to halt is /_hadoopBsp/job-1453140203447-0001/_haltComputation
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	DiskBackedPartitionStore:187 - giraph.maxSticky parameter unset or improperly set resetting to automatically computed value.
INFO  	DiskBackedPartitionStore:187 - giraph.maxSticky parameter unset or improperly set resetting to automatically computed value.
INFO  	DiskBackedPartitionStore:187 - giraph.maxSticky parameter unset or improperly set resetting to automatically computed value.
INFO  	DiskBackedPartitionStore:208 - DiskBackedPartitionStore with maxInMemoryPartitions=10, isStaticGraph=false
INFO  	DiskBackedPartitionStore:208 - DiskBackedPartitionStore with maxInMemoryPartitions=10, isStaticGraph=false
INFO  	DiskBackedPartitionStore:208 - DiskBackedPartitionStore with maxInMemoryPartitions=10, isStaticGraph=false
INFO  	BspService:685 - getJobState: Job state already exists (/_hadoopBsp/job-1453140203447-0001/_masterJobState)
INFO  	BspService:685 - getJobState: Job state already exists (/_hadoopBsp/job-1453140203447-0001/_masterJobState)
INFO  	BspServiceMaster:888 - becomeMaster: First child is '/_hadoopBsp/job-1453140203447-0001/_masterElectionDir/127.0.0.1_00000000000' and my bid is '/_hadoopBsp/job-1453140203447-0001/_masterElectionDir/127.0.0.1_20000000002'
INFO  	BspServiceMaster:888 - becomeMaster: First child is '/_hadoopBsp/job-1453140203447-0001/_masterElectionDir/127.0.0.1_00000000000' and my bid is '/_hadoopBsp/job-1453140203447-0001/_masterElectionDir/127.0.0.1_00000000000'
INFO  	BspServiceMaster:920 - becomeMaster: Waiting to become the master...
INFO  	BspServiceMaster:888 - becomeMaster: First child is '/_hadoopBsp/job-1453140203447-0001/_masterElectionDir/127.0.0.1_00000000000' and my bid is '/_hadoopBsp/job-1453140203447-0001/_masterElectionDir/127.0.0.1_10000000001'
